code,town,alliance.status
2,ANSONIA ,Alliance
11,BLOOMFIELD ,Alliance
15,BRIDGEPORT ,Alliance
17,BRISTOL ,Alliance
34,DANBURY ,Alliance
37,DERBY ,Alliance
43,EAST HARTFORD ,Alliance
44,EAST HAVEN ,Alliance
47,EAST WINDSOR ,Alliance
62,HAMDEN ,Alliance
64,HARTFORD ,Alliance
69,KILLINGLY ,Alliance
77,MANCHESTER ,Alliance
80,MERIDEN ,Alliance
83,MIDDLETOWN ,Alliance
88,NAUGATUCK ,Alliance
89,NEW BRITAIN ,Alliance
93,NEW HAVEN ,Alliance
95,NEW LONDON ,Alliance
103,NORWALK ,Alliance
104,NORWICH ,Alliance
116,PUTNAM ,Alliance
135,STAMFORD ,Alliance
146,VERNON ,Alliance
151,WATERBURY ,Alliance
156,WEST HAVEN ,Alliance
162,WINCHESTER ,Alliance
163,WINDHAM ,Alliance
165,WINDSOR LOCKS ,Alliance
164,WINDSOR ,Alliance
168,WOODBURY ,
1,ANDOVER ,
3,ASHFORD ,
4,AVON ,
5,BARKHAMSTED ,
6,BEACON FALLS ,
7,BERLIN ,
8,BETHANY ,
9,BETHEL ,
10,BETHLEHEM ,
12,BOLTON ,
13,BOZRAH ,
14,BRANFORD ,
16,BRIDGEWATER ,
18,BROOKFIELD ,
19,BROOKLYN ,
20,BURLINGTON ,
21,CANAAN ,
22,CANTERBURY ,
23,CANTON ,
24,CHAPLIN ,
25,CHESHIRE ,
26,CHESTER ,
27,CLINTON ,
28,COLCHESTER ,
29,COLEBROOK ,
30,COLUMBIA ,
31,CORNWALL ,
32,COVENTRY ,
33,CROMWELL ,
35,DARIEN ,
36,DEEP RIVER ,
38,DURHAM ,
39,EASTFORD ,
40,EAST GRANBY ,
41,EAST HADDAM ,
42,EAST HAMPTON ,
45,EAST LYME ,
46,EASTON ,
48,ELLINGTON ,
49,ENFIELD ,
50,ESSEX ,
51,FAIRFIELD ,
52,FARMINGTON ,
53,FRANKLIN ,
54,GLASTONBURY ,
55,GOSHEN ,
56,GRANBY ,
57,GREENWICH ,
58,GRISWOLD ,
59,GROTON ,
60,GUILFORD ,
61,HADDAM ,
63,HAMPTON ,
65,HARTLAND ,
66,HARWINTON ,
67,HEBRON ,
68,KENT ,
70,KILLINGWORTH ,
71,LEBANON ,
72,LEDYARD ,
73,LISBON ,
74,LITCHFIELD ,
75,LYME ,
76,MADISON ,
78,MANSFIELD ,
79,MARLBOROUGH ,
81,MIDDLEBURY ,
82,MIDDLEFIELD ,
84,MILFORD ,
85,MONROE ,
86,MONTVILLE ,
87,MORRIS ,
90,NEW CANAAN ,
91,NEW FAIRFIELD ,
92,NEW HARTFORD ,
94,NEWINGTON ,
96,NEW MILFORD ,
97,NEWTOWN ,
98,NORFOLK ,
99,NORTH BRANFORD ,
100,NORTH CANAAN ,
101,NORTH HAVEN ,
102,NORTH STONINGTON ,
105,OLD LYME ,
106,OLD SAYBROOK ,
107,ORANGE ,
108,OXFORD ,
109,PLAINFIELD ,
110,PLAINVILLE ,
111,PLYMOUTH ,
112,POMFRET ,
113,PORTLAND ,
114,PRESTON ,
115,PROSPECT ,
117,REDDING ,
118,RIDGEFIELD ,
119,ROCKY HILL ,
120,ROXBURY ,
121,SALEM ,
122,SALISBURY ,
123,SCOTLAND ,
124,SEYMOUR ,
125,SHARON ,
126,SHELTON ,
127,SHERMAN ,
128,SIMSBURY ,
129,SOMERS ,
130,SOUTHBURY ,
131,SOUTHINGTON ,
132,SOUTH WINDSOR ,
133,SPRAGUE ,
134,STAFFORD ,
136,STERLING ,
137,STONINGTON ,
138,STRATFORD ,
139,SUFFIELD ,
140,THOMASTON ,
141,THOMPSON ,
142,TOLLAND ,
143,TORRINGTON ,
144,TRUMBULL ,
145,UNION ,
147,VOLUNTOWN ,
148,WALLINGFORD ,
149,WARREN ,
150,WASHINGTON ,
152,WATERFORD ,
153,WATERTOWN ,
154,WESTBROOK ,
155,WEST HARTFORD ,
157,WESTON ,
158,WESTPORT ,
159,WETHERSFIELD ,
160,WILLINGTON ,
161,WILTON ,
166,WOLCOTT ,
167,WOODBRIDGE ,
169,WOODSTOCK ,
