 town,name,drg,grant_name,grant_type,pay1990,pay1991,pay1992,pay1993,pay1994,pay1995,pay1996,pay1997,pay1998,pay1999,pay2000,pay2001,pay2002,pay2003,pay2004,pay2005,pay2006,pay2007,pay2008,pay2009,pay2010,pay2011,pay2012,pay2013,pay2014,
1,Andover                  ,C,ARRA IDEA Part B,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,61373.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,ARRA Stabilization-Ed Grants,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,214349.0000,332532.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,ARRA Stabilization-Gov Serv,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,118183.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,ARRA-IDEA Part B Sec 619 Pre Schl ,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2476.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Education Jobs Fund,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31000.0000,42421.0000,0.0000,0.0000,
1,Andover                  ,C,Goals 2000,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29890.0000,0.0000,36746.0000,0.0000,30612.0000,10000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,IDEA Part B,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11590.0000,16000.0000,10146.0000,15968.0000,21265.0000,31635.0000,22846.0000,35946.0000,67966.0000,68807.0000,38341.0000,55733.0000,39261.0000,50541.0000,57066.0000,55726.0000,57412.0000,55974.0000,
1,Andover                  ,C,Preschool Grants Program,Federal,2877.0000,1605.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3018.0000,2000.0000,2469.0000,1499.0000,3104.0000,7178.0000,500.0000,3153.0000,6163.0000,4878.0000,3675.0000,1000.0000,2661.0000,3622.0000,3615.0000,3614.0000,3674.0000,3557.0000,
1,Andover                  ,C,School Renovation-IDEA And Tech,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25000.0000,6000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Title I Improving Basic Programs,Federal,1361.0000,1583.0000,1802.0000,2482.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9000.0000,2953.0000,11953.0000,31251.0000,2767.0000,16614.0000,9294.0000,15844.0000,13763.0000,5197.0000,6530.0000,8564.0000,14627.0000,
1,Andover                  ,C,Title II - Eisenhower Prof. Dev.,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,462.0000,535.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Title II Part D Technology,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,346.0000,810.0000,260.0000,94.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Title II-Part A Teachers,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4000.0000,10834.0000,1787.0000,5537.0000,4249.0000,5328.0000,5282.0000,8286.0000,2290.0000,4344.0000,4345.0000,
1,Andover                  ,C,Title IV Part A Safe & Drug Free,Federal,835.0000,910.0000,959.0000,0.0000,1825.0000,867.0000,995.0000,963.0000,1192.0000,1294.0000,0.0000,2269.0000,1116.0000,1012.0000,0.0000,2068.0000,500.0000,842.0000,486.0000,736.0000,600.0000,573.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Title V-Innovative Educ Strategies,Federal,2178.0000,1405.0000,1266.0000,1113.0000,1139.0000,1082.0000,1166.0000,920.0000,1105.0000,1189.0000,0.0000,1283.0000,3012.0000,0.0000,1677.0000,3082.0000,711.0000,807.0000,319.0000,463.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,E.E.R.A - Public,State,2286.0000,1960.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,ECS/Alliance Dist Grants,State,865578.0000,949951.0000,962729.0000,915380.0000,912919.0000,1022547.0000,1232401.0000,1239536.0000,1253840.0000,1290953.0000,1337370.0000,1387381.0000,1509464.0000,1639323.0000,1743796.0000,1812860.0000,1930089.0000,1948513.0000,2212944.0000,2309179.0000,1976465.0000,1999634.0000,2334860.0000,2367756.0000,2372111.0000,
1,Andover                  ,C,Interdistrict Cooperative,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28200.0000,76000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Professional Development,State,1000.0000,1000.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Quality Enhancement,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3971.0000,4487.0000,4331.0000,
1,Andover                  ,C,School Building Projects,State,43630.0000,42755.0000,41880.0000,41005.0000,40130.0000,29444.0000,28569.0000,27694.0000,26819.0000,25944.0000,58882.0000,1187453.0000,552805.0000,0.0000,0.0000,215067.0000,606005.0000,210725.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,School Readiness -Severe Need,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,107000.0000,107000.0000,107000.0000,107000.0000,107000.0000,107000.0000,107000.0000,
1,Andover                  ,C,Sp. Ed. - Equity,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3599.0000,16093.0000,939.0000,19215.0000,18015.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Sp. Ed. - Excess Cost,State,0.0000,0.0000,25691.0000,0.0000,0.0000,0.0000,0.0000,12598.0000,13583.0000,14168.0000,16150.0000,22650.0000,77687.0000,38428.0000,0.0000,0.0000,4572.0000,20397.0000,0.0000,16697.0000,66466.0000,45092.0000,53660.0000,114919.0000,132562.0000,
1,Andover                  ,C,Sp. Ed. - Regular,State,145814.0000,145814.0000,127852.0000,84047.0000,84060.0000,123288.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Sp. Ed. - State Agency Placements,State,0.0000,0.0000,24027.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19713.0000,0.0000,0.0000,0.0000,0.0000,17046.0000,18458.0000,24112.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Sp.Ed Excs Cost Student Supplmnt,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11979.0000,11979.0000,11979.0000,11979.0000,0.0000,
1,Andover                  ,C,State Funds For Tech Infrastructure,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,68786.0000,0.0000,22143.0000,26099.0000,30186.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Student Achievement,State,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1602.0000,511.0000,299.0000,2102.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Teacher Standards Implementation,State,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
1,Andover                  ,C,Transportation - Public,State,63226.0000,57952.0000,54850.0000,43410.0000,50520.0000,56970.0000,59097.0000,62332.0000,73248.0000,67281.0000,72168.0000,73773.0000,47241.0000,43971.0000,40874.0000,34055.0000,40863.0000,41578.0000,30628.0000,29639.0000,18041.0000,15234.0000,13501.0000,13862.0000,17643.0000,
2,Ansonia                  ,H,21st Century Community Learng Cntrs,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50000.0000,150000.0000,90000.0000,65000.0000,70000.0000,0.0000,0.0000,104080.0000,155920.0000,130000.0000,99293.0000,72000.0000,
2,Ansonia                  ,H,ARRA Ed Technology (Title IID) ,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8000.0000,6375.0000,0.0000,0.0000,0.0000,
2,Ansonia                  ,H,ARRA IDEA Part B,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,310000.0000,384934.0000,0.0000,0.0000,0.0000,
2,Ansonia                  ,H,ARRA McKinney-Vento Homeless,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12310.0000,0.0000,0.0000,0.0000,0.0000,
2,Ansonia                  ,H,ARRA NSLP Equipmnt Assistance Grant,Federal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21600.0000,0.0000,0.0000,0.0000,0.0000,
