code,town,resTotal,resRL,resFL,resFRPL,resELL,resSpEd,fiscTotal,fiscRL,fiscFL,fiscFRPL,fiscELL,fiscSpEd,techHS,charter,fiscNone
1,ANDOVER ,615,20,49,69,4,75,579,19,46,65,4,70,11,,25
2,ANSONIA ,2855,367,1485,1852,71,347,2620,349,1394,1743,70,334,158,3,74
3,ASHFORD ,688,35,150,185,11,101,643,32,138,170,11,94,23,,22
4,AVON ,3456,39,103,142,57,362,3429,39,103,142,57,362,3,,24
5,BARKHAMSTED ,665,7,35,42,1,79,652,7,34,41,1,79,13,,
6,BEACON FALLS ,985,59,90,149,9,109,961,59,85,144,9,106,24,,
7,BERLIN ,3041,79,272,351,67,308,3014,78,269,347,67,305,25,1,1
8,BETHANY ,956,16,35,51,,114,939,16,34,50,,114,3,2,12
9,BETHEL ,3061,142,396,538,84,341,2942,142,390,532,84,336,30,,89
10,BETHLEHEM ,452,3,26,29,3,57,428,3,25,28,3,56,10,,14
11,BLOOMFIELD ,2329,236,947,1183,28,251,2211,220,905,1125,28,245,33,84,1
12,BOLTON ,823,19,61,80,7,91,803,19,61,80,7,90,8,1,11
13,BOZRAH ,373,18,44,62,2,45,347,17,42,59,2,40,19,7,
14,BRANFORD ,3363,167,597,764,109,460,3348,166,594,760,109,459,14,1,
15,BRIDGEPORT ,23737,605,21862,22467,2785,3072,20496,278,19838,20116,2685,2848,1029,1700,512
16,BRIDGEWATER ,198,3,5,8,,33,194,3,5,8,,31,4,,
17,BRISTOL ,8712,622,2605,3227,331,1337,8461,614,2555,3169,327,1298,131,,120
18,BROOKFIELD ,2888,62,213,275,35,306,2822,61,207,268,35,296,43,,23
19,BROOKLYN ,1343,67,267,334,13,162,1271,64,257,321,12,155,31,1,40
20,BURLINGTON ,1794,12,80,92,18,176,1769,11,78,89,18,170,15,,10
21,CANAAN ,142,1,19,20,4,23,118,1,17,18,4,22,22,2,
22,CANTERBURY ,758,46,93,139,,76,700,45,88,133,,73,32,2,24
23,CANTON ,1735,35,99,134,10,150,1724,35,98,133,10,144,3,8,
24,CHAPLIN ,337,14,84,98,2,46,297,13,79,92,2,45,20,,20
25,CHESHIRE ,4714,86,244,330,33,495,4651,86,242,328,33,489,29,,34
26,CHESTER ,525,8,48,56,,99,516,8,47,55,,98,9,,
27,CLINTON ,2034,99,302,401,52,220,2009,98,298,396,52,213,24,,1
28,COLCHESTER ,3010,79,355,434,27,387,2962,77,349,426,27,377,39,,9
29,COLEBROOK ,228,8,25,33,,30,219,8,23,31,,30,8,,1
30,COLUMBIA ,763,23,65,88,,75,726,23,62,85,,75,28,,9
31,CORNWALL ,154,2,28,30,1,25,153,2,28,30,1,24,1,,
32,COVENTRY ,1930,51,273,324,,234,1840,50,259,309,,224,84,6,
33,CROMWELL ,2021,70,192,262,41,198,1992,70,182,252,41,195,28,,1
34,DANBURY ,11145,1200,4445,5645,2113,1246,10731,1161,4295,5456,2091,1217,348,,66
35,DARIEN ,4932,14,15,29,13,626,4895,14,15,29,13,625,,,37
36,DEEP RIVER ,669,23,79,102,13,102,659,23,75,98,13,100,10,,
37,DERBY ,1700,120,773,893,97,211,1608,116,738,854,97,207,75,4,13
38,DURHAM ,1321,27,41,68,7,179,1294,27,39,66,7,170,25,,2
39,EASTFORD ,239,2,31,33,,31,218,2,28,30,,31,9,,12
40,EAST GRANBY ,878,1,40,41,8,86,877,1,40,41,8,86,1,,
41,EAST HADDAM ,1322,47,104,151,4,183,1298,46,104,150,4,180,22,,2
42,EAST HAMPTON ,2037,62,224,286,17,174,1980,60,219,279,17,167,55,,2
43,EAST HARTFORD ,8336,725,4306,5031,586,1154,7995,689,4170,4859,584,1130,196,82,63
44,EAST HAVEN ,3758,438,1249,1687,219,484,3648,427,1207,1634,218,475,63,9,38
45,EAST LYME ,2755,89,252,341,30,352,2710,88,248,336,30,344,20,,25
46,EASTON ,1490,10,27,37,9,135,1469,10,27,37,9,134,,,21
47,EAST WINDSOR ,1354,81,404,485,44,201,1340,81,403,484,44,200,12,,2
48,ELLINGTON ,2779,42,200,242,37,291,2728,41,199,240,37,287,17,,34
49,ENFIELD ,5824,405,1635,2040,103,788,5726,402,1623,2025,103,782,59,3,36
50,ESSEX ,972,33,73,106,8,104,971,33,73,106,8,104,,1,
51,FAIRFIELD ,10359,283,731,1014,193,1187,10315,281,731,1012,193,1181,8,3,33
52,FARMINGTON ,4093,69,301,370,57,442,4040,68,299,367,57,437,12,2,39
53,FRANKLIN ,307,6,37,43,,36,288,6,36,42,,35,17,2,
54,GLASTONBURY ,6767,133,417,550,77,640,6736,132,414,546,77,638,8,2,21
55,GOSHEN ,419,6,30,36,3,57,408,6,29,35,3,55,11,,
56,GRANBY ,2060,44,89,133,13,173,2052,44,87,131,13,172,8,,
57,GREENWICH ,8779,310,989,1299,471,909,8711,304,989,1293,468,909,,,68
58,GRISWOLD ,1937,126,497,623,19,266,1850,121,471,592,19,255,62,3,22
59,GROTON ,5289,556,1665,2221,118,768,5101,547,1603,2150,112,753,150,37,1
60,GUILFORD ,3653,96,188,284,34,387,3607,96,184,280,34,382,16,,30
61,HADDAM ,1370,28,92,120,8,215,1340,28,90,118,8,208,30,,
62,HAMDEN ,7030,633,2331,2964,260,882,6789,597,2230,2827,256,861,63,124,54
